id,question,path,reference
m1,"What was the score when Argentina lost in the group stage, and how big an upset was that considered?",mixed,Argentina lost 2-1 to Saudi Arabia in their first group match. The prose describes it as one of the biggest upsets in World Cup history.
m2,"In what minutes did Japan score against Spain, and what was controversial about the winning goal?",mixed,Japan scored in the 48th minute (Ritsu Doan) and the 51st (Ao Tanaka) after Morata had put Spain ahead in the 11th. Tanaka's goal was controversial because the ball seemed to have gone out of play beforehand; after a lengthy delay it was awarded by VAR.
m3,"Who refereed the final, and were there any officiating controversies at the tournament?",mixed,"Szymon Marciniak of Poland refereed the final. The tournament's officiating was notable for the first women referees at a men's World Cup, and there were disputed VAR decisions, most prominently Japan's second goal against Spain, awarded after a long delay when the ball had seemed to go out of play."
m4,"How many goals did Mbappe score in the final and in what minutes, and how was his performance written about afterwards?",mixed,"Kylian Mbappe scored a hat-trick in the final: an 80th-minute penalty, an 81st-minute goal, and a 118th-minute penalty. He also scored in the shootout, which Argentina won 4-2. He won the Golden Boot with eight goals in the tournament, the most since Ronaldo in 2002."
m5,"Which teams played the opening match and what was the score, and what happened at the opening ceremony?",mixed,"Qatar lost the opening match 2-0 to Ecuador at Al Bayt Stadium on 20 November 2022. The opening ceremony, directed by Marco Balich with Ahmed Al Baker, ran seven themed panels celebrating Qatari and Arab culture and featured Ghanim Al-Muftah and Jungkook of BTS."
m6,"Which team did Morocco knock out in the quarter-finals, and what was historic about their run?",mixed,"Morocco beat Portugal 1-0 in the quarter-finals. They became the first African nation to reach a World Cup semi-final, where they lost 2-0 to France."
m7,"Who finished top of Iran's group, and what protests surrounded the Iranian team?",mixed,"England finished top of Group B with 7 points; Iran finished third with 3. The Iranian team's participation was surrounded by protest: there were calls to ban them, their players sang the anthem before the Wales match amid boos from Iranian supporters, and ahead of the United States game they were reportedly threatened by the IRGC if they did not sing it or joined the protests."
m8,"What was the score in the third-place match, and what was notable about the two teams' finishes?",mixed,"Croatia beat Morocco 2-1. It was the eleventh consecutive World Cup in which a European team finished third. Despite the defeat, fourth place was still the best World Cup finish ever achieved by Morocco or any African team."
s1,Who won the 2022 World Cup final and what was the score?,sql-only,Argentina beat France in the final. The match finished 3-3 after extra time and Argentina won 4-2 on penalties.
s2,Which stadium hosted the final?,sql-only,Lusail Iconic Stadium.
s3,Who was the top scorer of the tournament and how many goals did he score?,sql-only,"Kylian Mbappe, with 8 goals. Lionel Messi was next with 7. (Shootout penalties are not counted as goals.)"
s4,Which team picked up the most yellow cards?,sql-only,"Argentina, with 17 yellow cards, ahead of Saudi Arabia on 14."
s5,Which teams conceded only one goal in the group stage?,sql-only,"Netherlands, USA and Tunisia each conceded a single goal in the group stage."
s6,"What formations did Argentina and France line up in for the final, and who were the coaches?",sql-only,Argentina played 4-3-3 under Lionel Scaloni; France played 4-2-3-1 under Didier Deschamps.
s7,"How many matches were decided by a penalty shootout, and which ones?",sql-only,"Five: Croatia beat Japan and Morocco beat Spain in the round of 16, Croatia beat Brazil and Argentina beat Netherlands in the quarter-finals, and Argentina beat France in the final."
s8,Who finished top of Morocco's group and how many points did they get?,sql-only,"Morocco themselves topped Group F with 7 points, ahead of Croatia on 5, Belgium on 4 and Canada on 0."
s9,Which referees officiated the most matches at the tournament?,sql-only,"Cesar Arturo Ramos and Wilton Pereira Sampaio, with 4 matches each."
s10,Who scored Argentina's goals in the final and in what minutes?,sql-only,Lionel Messi scored a 23rd-minute penalty and again in the 108th minute; Angel Di Maria scored in the 36th.
p1,"Who won the Golden Ball at the 2022 World Cup, and what was notable about it?",prose-only,"Lionel Messi won the Golden Ball, becoming the first player to win the award twice."
p2,Which goal was voted the best of the tournament?,prose-only,"Richarlison's second goal for Brazil in the group-stage match against Serbia, chosen by public vote from a FIFA shortlist of 10 goals."
p3,"How much did the 2022 World Cup cost, and was that figure disputed?",prose-only,"It was estimated at over $220 billion, making it the most expensive World Cup ever held. Qatari officials disputed this, including organising CEO Nasser Al Khater, who said the true cost was $8 billion and that the larger figure covered wider infrastructure development since 2010."
p4,Were there any female referees at the 2022 World Cup?,prose-only,"Yes. For the first time women refereed games at a major men's tournament: Stephanie Frappart of France, Salima Mukansanga of Rwanda and Yoshimi Yamashita of Japan."
p5,How was Qatar chosen to host the World Cup?,prose-only,"The 22-member FIFA Executive Committee voted in Zurich on 2 December 2010, choosing between five remaining bids: Australia, Japan, Qatar, South Korea and the United States. Two executive committee members had been suspended before the vote."
p6,Who directed the opening ceremony?,prose-only,"Italian creative director Marco Balich, who had previously worked on Olympic ceremonies, together with co-artistic director Ahmed Al Baker."
p7,What was the design of the official tournament emblem based on?,prose-only,"A shawl, reflecting the tournament's late-autumn scheduling, and desert dunes. It was shaped to resemble the trophy, the infinity symbol and the number 8. It was designed by Unlock Brands and unveiled in September 2019."
p8,How large an audience was the 2022 World Cup expected to reach?,prose-only,"FIFA president Gianni Infantino projected at least 5 billion viewers globally, against 3.57 billion for the 2018 tournament."
o1,What is the capital of France?,none,The system should decline. This is not a question about the 2022 World Cup and neither tool can answer it.
o2,Write me a Python function that sorts a list of dictionaries by key.,none,"The system should decline. This is a coding request, not a question about the 2022 World Cup."
o3,What is the weather in Doha today?,none,The system should decline. The knowledge base covers the 2022 tournament and holds no current weather data.
o4,Who is going to win the 2026 World Cup?,none,The system should decline. This asks for a prediction about a tournament the knowledge base does not cover.
