variant,id,question,expected_path,actual_path,answer,prompt_tokens,completion_tokens,total_tokens,cost,response_time,iterations,tool_calls
full,m1,"What was the score when Argentina lost in the group stage, and how big an upset was that considered?",mixed,prose-only,"Argentina lost 2–1 to Saudi Arabia in the group stage.

It was considered one of the biggest upsets in World Cup history.",5089,69,5158,0.00080475,2.501,2,"[""search_prose""]"
full,m2,"In what minutes did Japan score against Spain, and what was controversial about the winning goal?",mixed,mixed,"Japan scored in the 48th and 51st minutes against Spain.

The winning goal by Ao Tanaka was controversial because the ball appeared to have gone out of play before it was sent back into the net. After a long VAR review, the goal was awarded, and later images suggested the ball had not fully crossed the line by the narrowest of margins.",7252,248,7500,0.0012365999999999998,3.116,3,"[""execute_sql"", ""search_prose""]"
full,m3,"Who refereed the final, and were there any officiating controversies at the tournament?",mixed,mixed,"The final was refereed by **Szymon Marciniak**.

Yes — there were some officiating controversies at the tournament. The biggest one highlighted in the sources was the **Argentina vs Netherlands quarter-final**, where referee **Antonio Mateu Lahoz** was criticized for **failing to control the match** and for the large number of yellow cards issued.

There were also broader tournament controversies around **FIFA’s officiating decisions**, including the use of **women referees for the first time at a men’s World Cup** and a **last-minute disciplinary decision over rainbow armbands**.",4485,243,4728,0.0008185499999999999,2.483,2,"[""execute_sql"", ""search_prose""]"
full,m4,"How many goals did Mbappe score in the final and in what minutes, and how was his performance written about afterwards?",mixed,mixed,"Mbappé scored 4 goals in the final, in the 80th minute, 81st minute, 118th minute, and 120+1 minute.

Afterwards, he was written about as having produced a remarkable but ultimately unsuccessful performance: France were said to have been “suddenly caught out” by his two goals in two minutes, and although he became the first player since Geoff Hurst to score a hat-trick in a World Cup final, France still lost on penalties. The write-up also noted that he became the first player to score four World Cup final goals and the first to reach eight goals in a single World Cup since Ronaldo in 2002.",8054,358,8412,0.0014229,5.542,3,"[""execute_sql"", ""search_prose"", ""execute_sql""]"
full,m5,"Which teams played the opening match and what was the score, and what happened at the opening ceremony?",mixed,mixed,"The opening match was **Qatar vs Ecuador**, and **Ecuador won 2–0**.

At the opening ceremony, held at **Al Bayt Stadium** before that match:
- **Morgan Freeman** and **Ghanim Al-Muftah** appeared
- **Jungkook** of BTS and **Fahad Al Kubaisi** performed
- it was the **first World Cup opening ceremony to include a Qur’an recitation**
- **Emir Tamim bin Hamad Al Thani declared the tournament open**",7670,307,7977,0.0013347,3.491,3,"[""execute_sql"", ""search_prose"", ""execute_sql""]"
full,m6,"Which team did Morocco knock out in the quarter-finals, and what was historic about their run?",mixed,mixed,"Morocco knocked out **Portugal** in the quarter-finals.

Their run was historic because Morocco became the **first African and first Arab team to reach the World Cup semi-finals**.",4848,177,5025,0.0008334,2.365,2,"[""execute_sql"", ""search_prose""]"
full,m7,"Who finished top of Iran's group, and what protests surrounded the Iranian team?",mixed,mixed,"England finished top of Iran’s group.

The protests surrounding the Iranian team included:
- anti-government “Woman, Life, Freedom” demonstrations linked to the Mahsa Amini protests
- fans wearing or carrying banned symbols, such as the pre-revolutionary Lion and Sun flag and signs mentioning Mahsa Amini
- reports that Iranian players refused to sing the national anthem before their first match in solidarity with the protests
- stadium and police attempts to suppress protest signs, filming, and photography
- boycotts and counter-support from both protesters and pro-government supporters

",6909,219,7128,0.00116775,3.204,3,"[""execute_sql"", ""search_prose""]"
full,m8,"What was the score in the third-place match, and what was notable about the two teams' finishes?",mixed,sql-only,"The third-place match ended **Croatia 2–1 Morocco**.

Notable about the teams’ finishes:
- **Croatia finished third**.
- **Morocco finished fourth**, which was still a historic run for them.",7361,298,7659,0.0012829499999999997,4.078,4,"[""execute_sql"", ""execute_sql"", ""execute_sql""]"
full,s1,Who won the 2022 World Cup final and what was the score?,sql-only,sql-only,"Argentina won the 2022 World Cup final, defeating France on penalties after a 3–3 draw. The penalty shootout was 4–2.",4787,168,4955,0.0008188499999999999,2.604,3,"[""execute_sql"", ""execute_sql""]"
full,s2,Which stadium hosted the final?,sql-only,sql-only,The final was hosted at **Lusail Iconic Stadium** in **Lusail**.,2971,65,3036,0.00048465,1.752,2,"[""execute_sql""]"
full,s3,Who was the top scorer of the tournament and how many goals did he score?,sql-only,sql-only,"The tournament’s top scorers were **K. Mbappé** and **L. Messi**, tied with **9 goals each**.",3157,97,3254,0.00053175,1.743,2,"[""execute_sql""]"
full,s4,Which team picked up the most yellow cards?,sql-only,sql-only,"Argentina picked up the most yellow cards, with 17.",2991,83,3074,0.00049845,1.664,2,"[""execute_sql""]"
full,s5,Which teams conceded only one goal in the group stage?,sql-only,sql-only,"The teams that conceded only one goal in the group stage were:

- Brazil
- Croatia
- Morocco
- Netherlands
- Tunisia
- USA",3048,86,3134,0.0005088,1.66,2,"[""execute_sql""]"
full,s6,"What formations did Argentina and France line up in for the final, and who were the coaches?",sql-only,sql-only,"In the final, Argentina lined up in a 4-3-3 under coach L. Scaloni, and France lined up in a 4-2-3-1 under coach D. Deschamps.",3203,193,3396,0.00059625,2.01,2,"[""execute_sql"", ""execute_sql""]"
full,s7,"How many matches were decided by a penalty shootout, and which ones?",sql-only,sql-only,"There were **5 matches** decided by a penalty shootout:

1. **Japan vs Croatia** — Round of 16  
   - 1–1 after extra time, **Croatia won 3–1 on penalties**

2. **Morocco vs Spain** — Round of 16  
   - 0–0 after extra time, **Morocco won 3–0 on penalties**

3. **Croatia vs Brazil** — Quarter-finals  
   - 1–1 after extra time, **Croatia won 4–2 on penalties**

4. **Netherlands vs Argentina** — Quarter-finals  
   - 2–2 after extra time, **Argentina won 4–3 on penalties**

5. **Argentina vs France** — Final  
   - 3–3 after extra time, **Argentina won 4–2 on penalties**",3371,281,3652,0.00067425,2.414,2,"[""execute_sql""]"
