article,section,chunk_index,question
2022 FIFA World Cup,Awards,65,"Which player won the Golden Ball at the 2022 FIFA World Cup, and was it his second time getting that award?"
2022 FIFA World Cup,Awards,65,What were the three World Cup awards handed out when the 2022 tournament ended?
2022 FIFA World Cup,Awards,65,Which award is given to the top scorer at the FIFA World Cup?
2022 FIFA World Cup,Controversies,75,Why was Qatar’s 2022 World Cup hosting criticized on human rights grounds?
2022 FIFA World Cup,Controversies,75,What allegations of bribery and FIFA corruption were made about Qatar winning the 2022 World Cup bid?
2022 FIFA World Cup,Controversies,75,Who said that giving Qatar the 2022 World Cup was a mistake?
2022 FIFA World Cup,Controversies,76,What corruption and money-laundering investigation was opened in Switzerland over the 2018 and 2022 World Cup bids?
2022 FIFA World Cup,Controversies,76,"Why did Sepp Blatter accuse Qatar’s 2022 World Cup bid of using ""black ops""?"
2022 FIFA World Cup,Controversies,76,Why did members of the al-Ghufran tribe ask FIFA to block the World Cup in Qatar?
2022 FIFA World Cup,Controversies,77,What did court documents reportedly show about money sent to people who voted for the 2022 World Cup host in September 2023?
2022 FIFA World Cup,Controversies,77,Why did Amnesty International and The Guardian criticize Qatar over foreign workers building for the 2022 FIFA World Cup?
2022 FIFA World Cup,Controversies,77,What labour reforms did Qatar introduce between 2015 and 2021 before the 2022 World Cup?
2022 FIFA World Cup,Controversies,78,Why was Qatar seen as an unusual choice to host the 2022 FIFA World Cup compared with other host countries by size and prior qualification history?
2022 FIFA World Cup,Controversies,78,"How many of the 2022 World Cup stadiums were in the Doha area, and why did that make the tournament stand out historically?"
2022 FIFA World Cup,Controversies,78,What did Qatar’s World Cup organizers do about intoxicated fans because of the country’s alcohol laws?
2022 FIFA World Cup,Controversies,79,"Why did people criticize Qatar’s hosting of the 2022 World Cup, especially over LGBT rights and alcohol rules?"
2022 FIFA World Cup,Controversies,79,What did FIFA president Sepp Blatter say in 2014 about giving the World Cup to Qatar?
2022 FIFA World Cup,Controversies,79,Why were the reported attendance numbers at 2022 World Cup matches in Qatar questioned even when seats looked empty?
2022 FIFA World Cup,Controversies,80,What happened to the Denmark TV 2 reporter during a live broadcast from Katara Cultural Village before the World Cup started?
2022 FIFA World Cup,Controversies,80,Who did Phaedra Almajid say was offered €2.3 million each to back Qatar’s 2022 World Cup bid?
2022 FIFA World Cup,Controversies,80,Which countries were Qatar competing against for the right to host the 2022 FIFA World Cup?
2022 FIFA World Cup,Controversies,81,What was the name of Qatar's espionage effort to help win the 2022 World Cup hosting rights?
2022 FIFA World Cup,Controversies,81,Which FIFA insider and consultant for Australia's 2022 World Cup bid was targeted in a cyberattack starting in January 2012?
2022 FIFA World Cup,Controversies,81,Which Indian hack-for-hire firm was linked to the server used in the attack on Peter Hargitay?
2022 FIFA World Cup,Controversies,82,"What human rights criticisms were raised about Qatar before the 2022 FIFA World Cup, especially involving migrant workers building the stadiums and other infrastructure?"
2022 FIFA World Cup,Controversies,82,"What did the 23 October 2022 Guardian survey find about the effect of Qatar’s labour reforms on 1,000 migrant workers?"
2022 FIFA World Cup,Controversies,82,"According to Sharan Burrow, what would the new tranche of labour laws do to the Kafala system before the World Cup?"
2022 FIFA World Cup,Controversies,83,Why was the 2022 World Cup in Qatar moved from its usual June and July schedule to late November and December?
2022 FIFA World Cup,Controversies,83,What other major events did FIFA try to avoid conflicting with when it changed the dates of the Qatar World Cup?
2022 FIFA World Cup,Controversies,83,"When did FIFA's task force recommend holding the 2022 World Cup, and what was the reason for that timing?"
2022 FIFA World Cup,Controversies,84,Why was holding the 2022 World Cup in November seen as controversial for domestic leagues and holiday schedules?
2022 FIFA World Cup,Controversies,84,What did Premier League chief executive Richard Scudamore say his league might do if the World Cup disrupted the Christmas and New Year fixtures?
2022 FIFA World Cup,Controversies,84,What month did FIFA confirm the 2022 World Cup final would be played in?
2022 FIFA World Cup,Controversies,85,What allegations were made about Mohammed bin Hammam's role in helping Qatar win the 2022 World Cup bid?
2022 FIFA World Cup,Controversies,85,How much money did a former employee say several African football officials were paid by Qatar's bid team?
2022 FIFA World Cup,Controversies,85,What did FIFA’s investigation conclude about the bribery claims surrounding Qatar’s successful World Cup campaign?
2022 FIFA World Cup,Controversies,86,What did FIFA's Audit and Compliance chief say could happen to Qatar's World Cup hosting if the votes for Qatar and Russia were found to have been bought?
2022 FIFA World Cup,Controversies,86,Who was the former media officer for Qatar's 2022 World Cup bid who said the corruption scandal might keep Qatar from hosting?
2022 FIFA World Cup,Controversies,86,"In 2022, which Central American soccer official was sentenced to 16 months for taking more than $350,000 in bribes?"
2022 FIFA World Cup,Controversies,87,What did Michael Garcia say about FIFA's 42-page summary of his bribery investigation into Qatar and Russia?
2022 FIFA World Cup,Controversies,87,"Did the full Garcia report find any evidence that Qatar bought the 2022 World Cup, or did it clear the bid of corruption?"
2022 FIFA World Cup,Controversies,87,Why did FIFA end up releasing Michael Garcia's original report on the 2018 and 2022 World Cup bids?
2022 FIFA World Cup,Controversies,88,Why was Russia banned from major sporting events before the 2022 World Cup in Qatar?
2022 FIFA World Cup,Controversies,88,Could Russia's national team still play in 2022 World Cup qualifying after the WADA ban?
2022 FIFA World Cup,Controversies,88,Which teams said they would not play World Cup qualifier matches in Russia after the invasion of Ukraine?
2022 FIFA World Cup,Controversies,89,Why was Russia ruled out of the 2022 FIFA World Cup after FIFA's sanctions in February 2022?
2022 FIFA World Cup,Controversies,89,What made Qatar's hosting of the 2022 FIFA World Cup controversial because of LGBTQ+ rights?
2022 FIFA World Cup,Controversies,89,Why did FIFA threaten yellow cards over the rainbow captain's armbands at the 2022 World Cup?
2022 FIFA World Cup,Controversies,90,Why were rainbow flags and rainbow clothing being taken away at World Cup stadiums in Qatar?
2022 FIFA World Cup,Controversies,90,What happened to journalist Grant Wahl at the stadium after he wore a rainbow T-shirt at the 2022 World Cup?
2022 FIFA World Cup,Controversies,90,What did the autopsy in New York say caused Grant Wahl’s death?
2022 FIFA World Cup,Controversies,91,"Why was a Mexican employee of the Qatar World Cup organizing committee investigated after reporting rape, and what happened to her case later?"
2022 FIFA World Cup,Controversies,91,What penalties can women in Qatar face if they are convicted of sex outside marriage?
2022 FIFA World Cup,Controversies,91,"Why did a fan at the 2022 World Cup in Qatar hold up a ""Woman, Life, Freedom"" banner?"
2022 FIFA World Cup,Controversies,92,"What happened to Iranian fans wearing ""Woman, Life, Freedom"" or Mahsa Amini-related slogans at the Iran vs. England World Cup match in Qatar?"
2022 FIFA World Cup,Controversies,92,Why did Qatar revoke the visas of journalists from Iran International during the 2022 World Cup?
2022 FIFA World Cup,Controversies,92,Which country was reportedly cooperating with Qatari officials to stop anti-government protests at the 2022 FIFA World Cup?
2022 FIFA World Cup,Controversies,93,Why did Qatar ban public Jewish prayer services and cooked kosher food at the 2022 World Cup?
2022 FIFA World Cup,Controversies,93,How many religious Jews from Israel and other countries were estimated to travel to Qatar for the World Cup?
2022 FIFA World Cup,Controversies,93,Who supervised the kosher kitchen that opened in time for the first match in Qatar?
2022 FIFA World Cup,Controversies,94,What problems did Israeli reporters and visitors face from some fans at the 2022 World Cup in Qatar?
2022 FIFA World Cup,Controversies,94,Why did the Israeli government tell its citizens going to the Qatar World Cup to avoid revealing they were Israeli?
2022 FIFA World Cup,Controversies,94,What complaints were made about the fan villages and accommodation at the Qatar 2022 World Cup?
2022 FIFA World Cup,Controversies,95,Did Qatar end up banning alcohol sales inside the eight World Cup stadiums just before the tournament started?
2022 FIFA World Cup,Controversies,95,Where were fans supposed to be able to buy alcohol during the 2022 World Cup in Qatar?
2022 FIFA World Cup,Controversies,95,Was alcohol still available to FIFA officials and special guests after Qatar banned sales for regular fans in the stadiums?
2022 FIFA World Cup,Controversies,96,"What did female fans tell The Times about feeling safer at 2022 FIFA World Cup stadiums, and why did they feel that way?"
2022 FIFA World Cup,Controversies,96,"Which newspaper interviewed female fans at the 2022 FIFA World Cup on 30 November 2022, and what did they say about the atmosphere at the games?"
2022 FIFA World Cup,Controversies,96,How did some women attending 2022 FIFA World Cup matches describe the level of drunkenness among other fans?
2022 FIFA World Cup,Group stage,50,When was the group stage of the 2022 FIFA World Cup played in Qatar?
2022 FIFA World Cup,Group stage,50,"How many groups were there in the 2022 FIFA World Cup group stage, and how many teams were in each one?"
2022 FIFA World Cup,Group stage,50,How did teams advance from the 2022 FIFA World Cup group stage to the knockout round?
2022 FIFA World Cup,Group stage,51,Who scored the two goals in Ecuador’s 2-0 win over Qatar in the opening match of Group A?
2022 FIFA World Cup,Group stage,51,Which player scored Qatar’s first ever World Cup goal in their 3-1 loss to Senegal?
2022 FIFA World Cup,Group stage,51,"How did Senegal qualify from Group A after beating Ecuador, and who scored the winning goal?"
2022 FIFA World Cup,Group stage,52,How did England start their Group B run against Iran at the 2022 World Cup?
2022 FIFA World Cup,Group stage,52,What happened in the Wales vs Iran match after Wayne Hennessey was sent off in Group B?
2022 FIFA World Cup,Group stage,52,How did the United States beat Iran to reach the round of 16 at the 2022 World Cup?
2022 FIFA World Cup,Group stage,53,How did Saudi Arabia beat Argentina in their opening group match at the 2022 World Cup?
2022 FIFA World Cup,Group stage,53,What happened in the Mexico vs. Poland game when Robert Lewandowski had a penalty saved by Guillermo Ochoa?
2022 FIFA World Cup,Group stage,53,How did Poland manage to advance from the group stage ahead of Mexico at the 2022 World Cup?
2022 FIFA World Cup,Group stage,54,How did France come back after going behind to Australia in their opening World Cup match in Qatar?
2022 FIFA World Cup,Group stage,54,Who scored the winning goal when Australia beat Denmark to reach the knockout stage in 2022?
2022 FIFA World Cup,Group stage,54,"What happened in the Denmark vs Tunisia match, and which Danish player was making his first major international appearance since his cardiac arrest?"
2022 FIFA World Cup,Group stage,55,How did Japan beat Germany in their opening Group E match at the 2022 World Cup?
2022 FIFA World Cup,Group stage,55,"Which player scored Costa Rica’s lone goal against Japan, and why was it notable?"
2022 FIFA World Cup,Group stage,55,Why did Germany still get eliminated even after beating Costa Rica 4–2?
2022 FIFA World Cup,Group stage,56,"How did Morocco beat Belgium in Group F, and who scored the goals for Morocco?"
2022 FIFA World Cup,Group stage,56,"Which player scored Canada's first World Cup goal against Croatia, and what was the final score?"
2022 FIFA World Cup,Group stage,56,What result between Croatia and Belgium sent Belgium home from the 2022 World Cup?
2022 FIFA World Cup,Group stage,57,Who scored the only goal when Switzerland beat Cameroon 1–0 at the 2022 World Cup group stage?
2022 FIFA World Cup,Group stage,57,How did Cameroon and Serbia end up drawing 3–3 after Cameroon led first in their World Cup group match?
2022 FIFA World Cup,Group stage,57,Which player got the late winner for Brazil against Switzerland that sent Brazil through to the knockout round?
2022 FIFA World Cup,Group stage,58,"How did Portugal beat Ghana in their opening World Cup group match, and who became the first player to score in five different World Cups?"
2022 FIFA World Cup,Group stage,58,"What was the result when Ghana played South Korea, and which Ghanaian player scored the winner?"
2022 FIFA World Cup,Group stage,58,"Why did Uruguay fail to reach the knockout stage even after beating Ghana 2–0, and what happened after the final whistle?"
2022 FIFA World Cup,Host selection,8,When did FIFA start the bidding process for the 2018 and 2022 World Cups?
2022 FIFA World Cup,Host selection,8,Which country was ruled out of the 2018 World Cup bidding because its football association didn’t provide the required government guarantee?
2022 FIFA World Cup,Host selection,8,Who handed over the symbolic hosting baton to Qatar’s Emir Tamim bin Hamad Al Thani in June 2018?
2022 FIFA World Cup,Host selection,9,"Which country won the vote to host the 2022 FIFA World Cup, even though it was rated as a high operational risk choice?"
2022 FIFA World Cup,Host selection,9,Where did the FIFA Executive Committee meet to decide the hosts of the 2018 and 2022 World Cups in December 2010?
2022 FIFA World Cup,Host selection,9,How many FIFA executive committee members were suspended before the 2010 vote on the 2022 World Cup hosts?
2022 FIFA World Cup,Host selection,10,"How much did the 2022 FIFA World Cup in Qatar cost at an estimated level, and why is that figure disputed?"
2022 FIFA World Cup,Host selection,10,What did Qatari officials like Nasser Al Khater say the real cost of hosting the 2022 World Cup was?
2022 FIFA World Cup,Host selection,10,"Since Qatar was awarded the World Cup in 2010, what overall spending figures were linked to the tournament's infrastructure development?"
2022 FIFA World Cup,Introduction,0,When did the 2022 FIFA World Cup in Qatar take place?
2022 FIFA World Cup,Introduction,0,Why was the 2022 World Cup held in November and December instead of the usual summer months?
2022 FIFA World Cup,Introduction,0,"How many teams played in the 2022 FIFA World Cup, and was it the last tournament with that number?"
2022 FIFA World Cup,Introduction,1,"How did Argentina beat France in the 2022 World Cup final, and how many titles did that give them?"
2022 FIFA World Cup,Introduction,1,"Which African team became the first from the continent to make a World Cup semi-final, and who knocked them out?"
2022 FIFA World Cup,Introduction,1,Which player scored a hat-trick in the World Cup final and also won the Golden Boot in Qatar?
2022 FIFA World Cup,Introduction,2,Why was Qatar's hosting of the 2022 FIFA World Cup criticized so heavily?
2022 FIFA World Cup,Introduction,2,"What concerns were raised about migrant workers, women, and LGBTQ+ people in Qatar before the 2022 World Cup?"
2022 FIFA World Cup,Introduction,2,Were there accusations that Qatar bribed officials to win the right to host the 2022 FIFA World Cup?
2022 FIFA World Cup,Knockout stage,59,"Which teams played in the first World Cup round of 16 to feature all six inhabited continents, and when was it held?"
2022 FIFA World Cup,Knockout stage,59,How did Croatia beat Japan in the 2022 World Cup round of 16 after the match was tied at full time?
2022 FIFA World Cup,Knockout stage,59,Which player scored a hat-trick for Portugal in their 6–1 win over Switzerland?
2022 FIFA World Cup,Knockout stage,60,How did Croatia knock Brazil out in the World Cup quarter-finals in Qatar?
2022 FIFA World Cup,Knockout stage,60,"Who scored in Argentina's win over the Netherlands in the Battle of Lusail, and how did the match end?"
2022 FIFA World Cup,Knockout stage,60,"What was the score when France beat Morocco in the 2022 World Cup semi-final, and who scored for France?"
2022 FIFA World Cup,Knockout stage,61,"Who beat Morocco 2-1 in the World Cup third-place playoff, and who scored the winner for Croatia?"
2022 FIFA World Cup,Knockout stage,61,How did Argentina win the 2022 World Cup final against France after Kylian Mbappé completed a hat-trick?
2022 FIFA World Cup,Knockout stage,61,Which African or Arab team finished fourth at the 2022 World Cup after losing the bronze medal match to Croatia?
2022 FIFA World Cup,Marketing,67,Who designed the official emblem for the 2022 FIFA World Cup in Qatar?
2022 FIFA World Cup,Marketing,67,What shapes and ideas was the 2022 World Cup emblem in Qatar based on?
2022 FIFA World Cup,Marketing,67,Why did Qatar say the 2022 FIFA World Cup was a chance to promote its culture and hospitality?
2022 FIFA World Cup,Marketing,68,What World Cup tie-in features did FIFA 23 get in its November 2022 update for the Qatar tournament?
2022 FIFA World Cup,Marketing,68,When did FIFA Mobile and FIFA 23 receive their free 2022 World Cup updates?
2022 FIFA World Cup,Marketing,68,"What special items did Panini release for the 2022 World Cup sticker album, and what was unusual about them?"
2022 FIFA World Cup,Marketing,69,What was FIFA+'s app and streaming service for the 2022 World Cup supposed to let fans do?
2022 FIFA World Cup,Marketing,69,How many viewers did Infantino think the 2022 FIFA World Cup could reach worldwide?
2022 FIFA World Cup,Marketing,69,About how many people in the U.S. watched the England vs. United States group-stage match on Fox and Telemundo?
2022 FIFA World Cup,Marketing,70,Which company was one of the sponsors of the 2022 FIFA World Cup in Qatar?
